tweet_text,senti-score,senti-type,all_hashtags,favorite_count,retweet_count,created_at,username,followers_count,location
"Small actions do make a difference. But a big, systemic overhaul of our energy system is needed to tackle #ClimateChange. https://t.co/g0yIIbq1S7",1.16624,positive,"[{'text': 'ClimateChange', 'indices': [106, 120]}]",0,0,2020-11-09 12:34:58,HKingaby,2371,Worldwide
Principles for Net Zero Aligned Carbon Offsetting.  @offsetra &amp; @UniofOxford analyzing the important role of voluntary carbon markets.  #CO2 #carbonneutrality #climatechange #ClimateAction https://t.co/Z5ps9Xe2KF,0.67296,positive,"[{'text': 'CO2', 'indices': [140, 144]}, {'text': 'carbonneutrality', 'indices': [145, 162]}, {'text': 'climatechange', 'indices': [163, 177]}, {'text': 'ClimateAction', 'indices': [178, 192]}]",2,1,2020-11-09 12:34:00,sven_eberwein,1320,Los Angeles
This is massive #ClimateChange https://t.co/9ROVRy2AT2,0.0,neutral,"[{'text': 'ClimateChange', 'indices': [16, 30]}]",0,0,2020-11-09 12:33:32,Danni_Parks,348,London
fabulous opportunity for Artists to come up with innovative responses to #ClimateChange - #Zambian artists are encouraged to apply. Sign up for the info sessions 👇@Sotambefestival @modziarts @maankachipindi @SEA_Zambia @UKinZambia https://t.co/32ooB8Xo9i,1.9875300000000002,positive,"[{'text': 'ClimateChange', 'indices': [73, 87]}, {'text': 'Zambian', 'indices': [90, 98]}]",1,2,2020-11-09 12:33:00,davidcpardoe,2580,"Lusaka, Zambia"
Two crucial events for #globalhealth going on today: - the opening of @who #WHA73 and - the #RaceToZero #ClimateHealth dialogue paving the way to #COP26 #climatechange  Both of which can be watched live from anywhere in the world: https://t.co/1PqootMY7Q https://t.co/J3WtHCGHx5 https://t.co/E3KhnbxQMn,1.73282,positive,"[{'text': 'globalhealth', 'indices': [23, 36]}, {'text': 'WHA73', 'indices': [75, 81]}, {'text': 'RaceToZero', 'indices': [92, 103]}, {'text': 'ClimateHealth', 'indices': [104, 118]}, {'text': 'COP26', 'indices': [146, 152]}, {'text': 'climatechange', 'indices': [153, 167]}]",5,1,2020-11-09 12:32:57,yassentch,2216,"Montreal, Canada"
"The #PresidentElect will have to draw on his half century of political experience to deal with issues such as #climatechange, the #economy and #Covid19, writes @susanokeeffe.  #Election2020 #BidenHarris #Trump  https://t.co/BiENraQgbB",1.0334899999999998,positive,"[{'text': 'PresidentElect', 'indices': [4, 19]}, {'text': 'climatechange', 'indices': [110, 124]}, {'text': 'economy', 'indices': [130, 138]}, {'text': 'Covid19', 'indices': [143, 151]}, {'text': 'Election2020', 'indices': [176, 189]}, {'text': 'BidenHarris', 'indices': [190, 202]}, {'text': 'Trump', 'indices': [203, 209]}]",1,0,2020-11-09 12:32:55,businessposthq,98232,"Dublin city, Ireland"
Explore how #climatechange – and the global capitalism driving it – disproportionately impacts indigenous communities and disadvantages rural communities and linguistic minorities. #ClimateJustice https://t.co/yFSakteEn1,0.6891799999999999,positive,"[{'text': 'climatechange', 'indices': [12, 26]}, {'text': 'ClimateJustice', 'indices': [181, 196]}]",1,0,2020-11-09 12:31:47,Hub4Climate,216,UK
"Global health folks: save the date! Nov 12 webinar on #climatechange, #environment, #FoodSystems, and #health - beyond building back better after COVID-19. Register here: https://t.co/k47ZDx9zoK https://t.co/IXuYTSRm4X",1.69472,positive,"[{'text': 'climatechange', 'indices': [54, 68]}, {'text': 'environment', 'indices': [70, 82]}, {'text': 'FoodSystems', 'indices': [84, 96]}, {'text': 'health', 'indices': [102, 109]}]",0,0,2020-11-09 12:31:13,sarafewer,162,"Stockholm, Sweden"
Climate change: A tale of frequent fliers and weird electricity #environment #climatechange  https://t.co/KTv7CMxoAG,0.62923,positive,"[{'text': 'environment', 'indices': [64, 76]}, {'text': 'climatechange', 'indices': [77, 91]}]",0,0,2020-11-09 12:31:02,nadianizar,542,London
@McDonalds are keen to help climate change and obesity to increase by announcing the sale of a double Big Mac. Well done guys! #climatechange,0.95761,positive,"[{'text': 'climatechange', 'indices': [127, 141]}]",0,0,2020-11-09 12:30:40,FunBalloonMagic,788,"Sutton, London"
